Varianten	Konzept	Englisch	Deutsch
allégorique; allégorie; allégories; conte allégorique; allégoriques	allégorie	allegory	Allegorie
réflexions mélancoliques; analyse des passions; passions violentes et néfastes; passion; analyse psychologique; analyse des sentiments	analyse des passions	analysis of passions 	Analyse von Gefühlen
arrière-plan d'actualité; sous la forme d'; sous la forme de; arrière-plan historique; cadre d'actualité	ambiguïté 	ambiguity 	Mehrdeutigkeit 
ton comique	comique	comic	Komik
thèmes politiques; thèmes politiques et moraux; thèmes politiques et religieux (allusions à l’affaire Calas); thèmes économiques et philosophiques; thèmes anticléricaux; thème de l’esclavage; observations politiques et morales; thèmes anticléricaux (religion naturelle); la morale, la politique, etc.; discussions politiques; dialogues sur la religion; révolutionnaires, anti-revolutionnaire; Révolution 	considérations politiques	political considerations	politische Überlegungen
critiques de l'église; critique de l’église et des dogmes catholiques; attaques contre les monarques; critique de la noblesse; critique des couvents; thèmes anticléricaux; attaques contre les philosophes; critique des mœurs; critiques des mœurs; critique polémique; thèses féministes; ton anti-religieux; critiques de l'église	critique	criticism	Kritik
but didactique; thèmes pédagogiques et philosophiques; thème de l’éducation; prétentions didactiques; modèle de piété et de sagesse pour les enfants; thème de l’éducation; intentions didactiques (vulgarisation de théories scientifiques); intentions didactiques 	didactique	didactics	Didaktik
discussions littéraires, linguistiques, philosophiques	discussions littéraires	literary discussions	literarische Diskussionen
éléments historiques (Charles Martel, la bataille de Tours); éléments pseudo-historiques; ton pseudohistorique; ton pseudo-historique et sensible; pseudo-mémoires d’un personnage historique; narration pseudo-historique	éléments (pseudo-)historiques	(pseudo-)historical elements	(pseudo-)historische Elemente
but moralisateur; fin moralisatrice; conclusions moralisatrices; intentions moralisatrices (à la manière de Prévost); sensibilité et prétentions moralisatrices; intentions moralisatrices et philosophiques; intentions moralisatrices et pieuses; intentions moralisatrices (préceptes pour les jeunes gens qui entrent dans le monde); prétentions moralisatrices; prétentions morales (portrait du citoyen vertueux); ton moralisateur; analyse morale; observations morales; observations politiques et morales; observations morales et philosophiques; analyse morale; observations morales; thèmes moraux; réflexions morales; intentions moralisatrices; conte moral; contes moraux; ton voluptueux mais moralisateur; ton moralisateur et sensible; ton sombre et moralisateur; ton sentimental et moralisateur; ton mondain et moralisateur; ton moralisateur; peinture des mœurs; observations des mœurs mauresques; observations sur les mœurs européennes; observations sur les mœurs; but édifiant; intentions édifiantes; intentions édifiantes et pieuses; réflexions édifiantes; intentions édifiantes	morale	moral	Moral
attaques contre les philosophes; discours philosophiques; considérations philosophiques; thèmes philosophiques; thèmes pédagogiques et philosophiques; thèmes économiques et philosophiques; réflexions philosophiques de toutes sortes; prétentions philosophiques; discussions philosophiques et morales; réflexions philosophiques 	philosophie	philosophy	Philosophie
satire contre les Jésuites; satire de la religion chrétienne, du luxe, etc.; satire des disputes entre Jésuites et Capucins; satire des institutions économiques; satire des Jésuites; satire des mœurs; satire du parti des Philosophes; éléments satiriques; traits satiriques; ton satirique et facétieux; Utopie et tendances satiriques; ton satirique, puis sensibilité; ton satirique (parodie des ‘mémoires’ dans le genre de la Vie de Marianne); ton héroï-comique; ton satirique (imitation de Candide); ton scabreux; ton satirique; ton ironique	satire	satire	Satire
